compliance_code,name,applies_to,critical
E_SLP,ENGEN SLP,BOTH,YES
V_SLP,VOPAK SLP,BOTH,YES
L_DISC,LICENSE DISC,BOTH,YES
F_PERMIT,FIRE PERMIT,BOTH,YES
PTC,PRESSURE TEST,TRAILER,YES
BTC,BRAKE TEST,BOTH,YES
MCC,CALIBRATION,TRAILER,YES
CBP,CROSSBORDER,TRUCK,NO
