id,event_type,title,event_date,notes
001,BOOKING,JCZ590FS CALIBRATION BOOKING,2026-04-11,2026-04-07 10:32:19


2,REMINDER,C809BBV C317BBG C894BBV INSTALLATION,2026-04-27,2026-04-22 11:24:51
3,SERVICE,JBH823FS,2026-06-05,2026-06-02 15:45:02
4,REMINDER,FIRE PERMITS BOOKING FOR TRUCKS IN DURBAN,2026-06-10,2026-06-04 16:14:31
