customer,loading_point,offloading_point,rate_per_litre,food_allowance
OVK,WENTWORTH,OVK LADYBRAND,1.85,400
ENGEN,WENTWORTH,NELSPRUIT,0.85,400
ENGEN,WENTWORTH,HAMILTON,0.78,400
ENGEN,WENTWORTH,WALTLOO,0.92,400
