category,part_number,opening_stock,quantity_used,balance,side,part_name,cost_part,inclusive,truck_brand,shelf,store
CHEVRON,ZZ-CHEV-170,10,,10,#VALUE!,CHEVRON BOARD, R205.00 , R2 040.93 ,#VALUE!,#REF!,B
,SACCHEV1700HC,5,,5,#VALUE!,CHEVRON BOARD, R231.96 , R7 231.74 ,#VALUE!,#REF!,#REF!
QUICK DRY CEMENT,1021,30,,30,#VALUE!,QUICK DRY CEMENT, R95.00 , R1 279.64 ,#VALUE!,#REF!,#REF!
BATTERY,DTBAT683SMF,2,,2,#VALUE!,BATTERY , R3 295.06 , R447.36 ,#VALUE!,#REF!,#REF!
,683,2,,2,#VALUE!,BATTERY , R3 295.06 , R235.75 ,#VALUE!,#REF!,#REF!
,DTBAT690SMF-150,2,,2,#VALUE!,BATTERY , R3 699.12 , R266.75 ,#VALUE!,#REF!,#REF!
BATTERY COVER,BZ01-026-L0,1,,1,#VALUE!,BATTERY COVER, R1 195.00 , R109.25 , ACTROS ,#REF!,#REF!
KING PIN,YK003320,3,,3,#VALUE!,KING PIN, R1 213.00 , R3 789.32 ,#VALUE!,#REF!,USED
WEAR RING,6575024,4,,4,#VALUE!,WEAR RING, R649.00 , R3 789.32 ,#VALUE!,#REF!,B
SPRING ASSY,SS003001,1,,1,#VALUE!,SPRING ASSY, R1 750.00 , R4 253.99 ,#VALUE!,#REF!,B
,SS001801P,1,,1,#REF!,SPRING ASSY, R2 332.00 , R1 374.25 ,#VALUE!,#REF!,#REF!
LEAF SPRING PACK 8 BLADE,Q+2200005,1,,1,#VALUE!,LEAF SPRING PACK 8 BLADE, R2 111.56 , R1 394.95 ,#VALUE!,#REF!,#REF!
,Q+2200006,1,,1,#VALUE!,LEAF SPRING PACK 8 BLADE, R2 498.97 , R746.35 ,#VALUE!,#REF!,#REF!
TRAILER COUPLER,FC802804,2,,2,#VALUE!,TRAILER COUPLER, R11 700.00 , R2 012.50 ,#VALUE!,#REF!,USED
,TQ-10-003,4,,4,#VALUE!,HEN ROCKER BOX, R595.00 , R2 681.80 ,#VALUE!,#REF!,B
WINDOW REGULATOR ,463372,1,,1,#VALUE!,WINDOW REGULATOR , R2 832.94 , R2 428.29 , MERC ,#REF!,#REF!
,463370,1,,1,#VALUE!,WINDOW REGULATOR , R1 127.54 , R2 873.82 , MERC ,#REF!,#REF!
LEVER ACTUATOR,465501,1,,1,#VALUE!,LEVER ACTUATOR, R9 000.16 , R13 455.00 , MERC ,#REF!,#REF!
LOWER STEP BOX,SACMER0493AG,1,,1,R/H,LOWER STEP BOX, R2 062.00 , R684.25 , MERC ,#REF!,#REF!
,S040534AG,1,,1,#REF!,#REF!,#REF!, R3 257.88 ,#VALUE!,#REF!,#REF!
BRAKE DRUM ECO PLUS,S220091,2,,2,#REF!,#REF!, R2 630.16 , R1 296.67 ,#VALUE!,#REF!,#REF!
